index,2330.TW_Close,2330.TW_dailyReturns,NVDA_Close,NVDA_dailyReturns,spread,abs_sprd,2330.TW_rolling avg,NVDA_rolling avg,isSprdPos,signal,axe,leverage,ratio,2330.TW_Size,NVDA_Size,2330.TW_Cashflow,NVDA_Cashflow,2330.TW_MTM,NVDA_MTM,Live Trades,2330.TW_PnL,NVDA_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2010-01-01,40.406158447265625,0.0,0.42388370633125305,0.0,0.0,0.0,,,1,0,,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-02,40.406158447265625,0.0,0.42388370633125305,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-03,40.406158447265625,0.0,0.42388370633125305,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-04,40.406158447265625,0.0,0.42388370633125305,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-05,40.1571159362793,-0.006163479047664344,0.4300733506679535,0.014602222836712198,-0.020765701884376542,0.020765701884376542,,,0,0,0.0,10,0.025373072813802005,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-06,40.406158447265625,0.00620170311487267,0.43282443284988403,0.006396774358740975,-0.00019507124386830554,0.00019507124386830554,,,0,0,0.0,10,0.011048778461081904,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-07,39.970340728759766,-0.010785923117998197,0.42434215545654297,-0.019597501318237676,0.008811578200239478,0.008811578200239478,,,1,0,0.0,10,0.019289532828984397,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-08,39.8458251953125,-0.00311519819889039,0.4252590537071228,0.0021607522108977317,-0.005275950409788122,0.005275950409788122,,,0,0,0.0,10,0.007402697893630306,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-09,39.8458251953125,0.0,0.4252590537071228,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-10,39.8458251953125,0.0,0.4252590537071228,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-11,40.1571159362793,0.007812380329455859,0.41929858922958374,-0.014016078965467638,0.021828459294923497,0.021828459294923497,,,1,0,0.0,10,0.018732858147754057,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
