Date,2330.TW_Close,2330.TW_dailyReturns,2454.TW_Close,2454.TW_dailyReturns,spread,abs_sprd,2330.TW_rolling avg,2454.TW_rolling avg,isSprdPos,signal,axe,leverage,ratio,2330.TW_Size,2454.TW_Size,Gross size,,2330.TW_Cashflow,2454.TW_Cashflow,2330.TW_MTM,2454.TW_MTM,Live Trades,2330.TW_PnL,2454.TW_PnL,Total PnL,riskThreshold,grossCashflow,weighted,,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital,,,
3/1/2019,215.5,-0.018223235,223.5,0.013605442,-0.031828677,0.031828677,,,0,0,,5,0.774314598,0,0,0,0,0,0,0,0,,0,0,0,,0, -   , -   ,0,0,0,0,0,0, -   ,
4/1/2019,208,-0.034802784,217,-0.029082774,-0.00572001,0.00572001,,,0,0,0,5,0.871802759,0,0,0,0,0,0,0,0,,0,0,0,,0, -   , -   ,0,0,0,0,0,0, -   ,
7/1/2019,213,0.024038462,219,0.00921659,0.014821872,0.014821872,,,1,0,0,5,0.394210424,0,0,0,0,0,0,0,0,,0,0,0,,0, -   , -   ,0,0,0,0,0,0, -   ,
8/1/2019,211,-0.009389671,222,0.01369863,-0.023088301,0.023088301,,,0,0,0,5,1.534960722,0,0,0,0,0,0,0,0,,0,0,0,,0, -   , -   ,0,0,0,0,0,0, -   ,
9/1/2019,215.5,0.021327014,226,0.018018018,0.003308996,0.003308996,0.025524661,0.019355633,1,0,0,5,0.886008979,0,0,0,0,0,0,0,0,,0,0,0,0.025524661,0, -   , -   ,0,0,0,0,0,0, -   ,
10/1/2019,216,0.002320186,226,0,0.002320186,0.002320186,0.024161083,0.01880803,1,0,0,5,0,0,0,0,0,0,0,0,0,,0,0,0,0.024161083,0, -   , -   ,0,0,0,0,0,0, -   ,
11/1/2019,220.5,0.020833333,227.5,0.006637168,0.014196165,0.014196165,0.014671492,0.006868593,1,0,0,5,0.328697851,0,0,0,0,0,0,0,0,,0,0,0,0.014671492,0, -   , -   ,0,0,0,0,0,0, -   ,
14/1/2019,218.5,-0.009070295,231.5,0.017582418,-0.026652712,0.026652712,0.015242004,0.007741486,0,1,1,5,2.053793346,11,-5,16,0.012898092,-2403.5,1157.5,0,0,Opened,-2403.5,1157.5,0,0.015242004,3561, 0.00 , 0.00 ,0,0,0,0,3561,0, -   ,
15/1/2019,221,0.011441648,233,0.006479482,0.004962166,0.004962166,0.012926855,0.007828716,1,0,-1,5,0.59705638,-11,5,16,0.011333686,2431,-1165,27.5,-7.5,Closed,2431,-1165,20,0.012926855,3596, 0.00 , 0.00 ,20,0.005561735,0,20,0,0.005561735, 0.000004 ,
16/1/2019,217.5,-0.015837104,237,0.017167382,-0.033004486,0.033004486,0.014871415,0.007610136,0,1,1,5,1.181183535,6,-5,11,0.011570834,-1305,1185,0,0,Opened,-1305,1185,0,0.014871415,2490, 0.00 , 0.00 ,0,0,0,0,2490,0, -   ,
17/1/2019,220.5,0.013793103,237,0,0.013793103,0.013793103,0.01580125,0.007610136,1,0,-1,5,0,-6,5,11,0.012078016,1323,-1185,18,0,Closed,1323,-1185,18,0.01580125,2508, 0.00 , 0.00 ,18,0.007177033,0,18,0,0.007177033, 0.000004 ,
18/1/2019,218.5,-0.009070295,244,0.029535865,-0.03860616,0.03860616,0.01342784,0.011365191,0,1,1,5,3.63635837,19,-5,24,0.012998121,-4151.5,1220,0,0,Opened,-4151.5,1220,0,0.01342784,5371.5, 0.00 , 0.00 ,0,0,0,0,5371.5,0, -   ,
21/1/2019,221,0.011441648,244.5,0.00204918,0.009392467,0.009392467,0.013760946,0.012279621,1,0,-1,5,0.198142756,-19,5,24,0.013452337,4199,-1222.5,47.5,-2.5,Closed,4199,-1222.5,45,0.013760946,5421.5, 0.00 , 0.00 ,45,0.008300286,0,45,0,0.008300286, 0.000010 ,
22/1/2019,223,0.009049774,242,-0.010224949,0.019274723,0.019274723,0.013402961,0.015644182,1,1,1,5,1.226122681,-7,5,12,0.014336803,1561,-1210,0,0,Opened,1561,-1210,0,0.015644182,2771, 0.00 , 0.00 ,0,0,0,0,2771,0, -   ,
23/1/2019,220.5,-0.011210762,241,-0.004132231,-0.007078531,0.007078531,0.01195608,0.015320179,0,0,-1,5,0.402863515,7,-5,12,0.013357788,-1543.5,1205,17.5,-5,Closed,-1543.5,1205,12.5,0.015320179,2748.5, 0.00 , 0.00 ,12.5,0.004547935,0,12.5,0,0.004547935, 0.000003 ,
24/1/2019,222.5,0.009070295,244.5,0.014522822,-0.005452527,0.005452527,0.011020495,0.015870432,0,0,0,5,1.759456152,0,0,0,0,0,0,0,0,,0,0,0,0.015870432,0, -   , -   ,0,0,0,0,0,0, -   ,
