Date,GC=F_Close,GC=F_dailyReturns,GLD_Close,GLD_dailyReturns,spread,abs_sprd,GC=F_rolling avg,GLD_rolling avg,isSprdPos,signal,axe,leverage,ratio,GC=F_Size,GLD_Size,GC=F_Cashflow,GLD_Cashflow,GC=F_MTM,GLD_MTM,Live Trades,GC=F_PnL,GLD_PnL,Total PnL,Gross Capital
2024-01-03,2034.199951171875,-0.01462892491788459,189.1300048828125,-0.008336809604204354,-0.0062921153136802355,0.0062921153136802355,,,0,0,,5,0.052985161998656924,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-01-04,2042.300048828125,0.003981957452896312,189.32000732421875,0.0010046128932528209,0.002977344559643491,0.002977344559643491,,,1,0,0.0,5,0.02338724671977907,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-01-05,2042.4000244140625,4.895244750890981e-05,189.35000610351562,0.00015845540955172766,-0.00010950296204281784,0.00010950296204281784,,,0,0,0.0,5,0.30009390602603864,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-01-08,2026.5999755859375,-0.007736020681187505,187.8699951171875,-0.007816271130823282,8.025044963577699e-05,8.025044963577699e-05,,,1,0,0.0,5,0.09366371616296151,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-01-09,2026.4000244140625,-9.866336439545709e-05,187.92999267578125,0.0003193567900841021,-0.0004180201544795592,0.0004180201544795592,0.00744591661988719,0.004708694227562705,0,0,0.0,5,0.3001864940041363,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-01-10,2021.699951171875,-0.0023194202455394386,187.5,-0.00228804710551489,-3.137314002454872e-05,3.137314002454872e-05,0.0042893805002629576,0.0036262304674986876,0,0,0.0,5,0.09148925457250412,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-01-11,2014.300048828125,-0.003660237682382439,187.8699951171875,0.0019733072916665595,-0.0056335449740489985,0.0056335449740489985,0.003191316624366135,0.0038287074282623936,0,1,1.0,5,0.05028271204196878,1.0,-5.0,-2014.300048828125,939.3499755859375,0.0,0.0,Opened,-2014.300048828125,939.3499755859375,0.0,2953.6500244140625
2024-01-12,2046.699951171875,0.016084943433625654,189.7100067138672,0.009794068475553752,0.0062908749580719014,0.0062908749580719014,0.009169611219552627,0.006431620487290804,1,0,-1.0,5,0.05643904524038786,-1.0,5.0,2046.699951171875,-948.5500335693359,32.39990234375,-9.200057983398438,Closed,2046.699951171875,-948.5500335693359,23.199844360351562,0.0
2024-01-16,2026.0,-0.01011381817839141,187.91000366210938,-0.009488181898979597,-0.000625636279411812,0.000625636279411812,0.009744218925045362,0.006985005020479059,0,0,0.0,5,0.0870118335078577,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-01-17,2002.5999755859375,-0.011549863975351626,185.83999633789062,-0.01101595063528893,-0.0005339133400626972,0.0005339133400626972,0.011028053146520155,0.008545764778382703,0,0,0.0,5,0.08850954196512556,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-01-18,2018.5999755859375,0.007989613599849621,187.3699951171875,0.008232882099906247,-0.00024326850005662592,0.00024326850005662592,0.011951288268859639,0.009732985832381372,0,0,0.0,5,0.09564800185234092,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-01-19,2026.5,0.003913615629451028,187.92999267578125,0.00298872590696031,0.0009248897224907182,0.0009248897224907182,0.011890800624720968,0.009797461868091101,1,0,0.0,5,0.07082024211364145,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-01-22,2019.800048828125,-0.0033061688486922813,187.22000122070312,-0.003777957126316789,0.0004717882776245075,0.0004717882776245075,0.008538477913368151,0.00818912874193589,1,0,0.0,5,0.10591948509786912,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-01-23,2023.699951171875,0.0019308358498222322,187.9499969482422,0.0038991332271092194,-0.001968297377286987,0.001968297377286987,0.0075332540535249575,0.007541863737901886,0,0,0.0,5,0.187550800705228,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-01-24,2013.9000244140625,-0.004842578936733011,186.39999389648438,-0.008246890539639895,0.0034043116029068843,0.0034043116029068843,0.00526296486111902,0.006562837084006218,1,0,0.0,5,0.1576236965245604,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-01-25,2016.9000244140625,0.0014896469356133757,187.13999938964844,0.003969986681303217,-0.0024803397456898413,0.0024803397456898413,0.0037253239745689915,0.00552060462441942,0,0,0.0,5,0.24727940935759987,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-01-26,2016.800048828125,-4.9568934864074876e-05,187.00999450683594,-0.0006946931881827156,0.0006451242533186408,0.0006451242533186408,0.0029902096892939632,0.005220763348139809,1,0,0.0,5,1.2995273609420537,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-01-29,2025.199951171875,0.004164965361157513,188.3300018310547,0.0070584854445867595,-0.0028935200834292463,0.0028935200834292463,0.003365128752920086,0.005960569649014437,0,0,0.0,5,0.15759837385933748,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-01-30,2031.5,0.003110828056498649,188.58999633789062,0.0013805262268788976,0.0017303018296197514,0.0017303018296197514,0.003524761855700363,0.005778799032812089,1,0,0.0,5,0.041197463713517506,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-01-31,2048.39990234375,0.008318928055008667,188.4499969482422,-0.0007423479101065222,0.00906127596511519,0.00906127596511519,0.003178575864021148,0.003333383173698677,1,1,1.0,5,0.008209590790731962,-1.0,5.0,2048.39990234375,-942.2499847412109,0.0,0.0,Opened,2048.39990234375,-942.2499847412109,0.0,2990.649887084961
2024-02-01,2053.0,0.002245702926946258,190.41000366210938,0.01040067256889099,-0.008154969641944732,0.008154969641944732,0.003081050256123963,0.005009125190568282,0,0,-1.0,5,0.42954624930733437,1.0,-5.0,-2053.0,952.0500183105469,-4.60009765625,9.800033569335938,Closed,-2053.0,952.0500183105469,5.1999359130859375,0.0
2024-02-02,2036.0999755859375,-0.008231867712646168,188.61000061035156,-0.009453300862028224,0.0012214331493820563,0.0012214331493820563,0.006135362804969832,0.007662802475144334,1,0,0.0,5,0.1063777291467796,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-02-05,2025.699951171875,-0.005107816187203462,187.57000732421875,-0.005513988032274764,0.00040617184507130144,0.00040617184507130144,0.006666256071994754,0.007538457387598763,1,0,0.0,5,0.09995829433195397,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-02-06,2034.5,0.004344201530455782,188.5500030517578,0.005224693124019186,-0.0008804915935634039,0.0008804915935634039,0.006827899005638983,0.007996718536830287,0,0,0.0,5,0.11146016259614619,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-02-07,2035.199951171875,0.0003440408807446893,188.5,-0.0002651978305409086,0.0006092387112855979,0.0006092387112855979,0.0052364197606169696,0.00798873939439386,1,0,0.0,5,0.07139440642168121,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
