date,days,returns,,,
6/7/2010, 4 ,-0.008459566,,,
22/9/2010, 1 ,0.0083354,,,
10/11/2010, 1 ,0.00869303,,,
16/11/2010, 1 ,0.015786891,,,
7/12/2010, 4 ,0.005478827,,,
14/1/2011, 1 ,0.016766331,,,
28/1/2011, 1 ,-0.006025521,,,
25/2/2011, 1 ,0.004962412,,,
28/4/2011, 1 ,0.004921321,,,
3/5/2011, 1 ,0.010135656,,,
20/7/2011, 1 ,0.003014386,,,
3/8/2011, 1 ,0.008303265,,,
8/8/2011, 3 ,0.009556182,,,
10/8/2011, 1 ,0.01540909,,,
24/8/2011, 1 ,0.029012573,,,
29/8/2011, 3 ,0.006129785,,,
22/9/2011, 1 ,0.033291922,,,
27/9/2011, 1 ,-0.000611304,,,
10/11/2011, 2 ,0.00928316,,,
14/12/2011, 1 ,0.03664319,,,
14/3/2012, 1 ,0.022347648,,,
4/4/2012, 1 ,0.02464094,,,
17/5/2012, 1 ,-0.016497828,,,
24/5/2012, 1 ,0.002044056,,,
7/6/2012, 1 ,-0.01545009,,,
23/8/2012, 1 ,0.016065798,,,
7/1/2013, 3 ,0.00444345,,,
21/2/2013, 1 ,0.00284728,,,
13/5/2013, 3 ,0.00555813,,,
21/5/2013, 1 ,0.002091595,,,
20/6/2013, 1 ,0.027597719,,,
1/7/2013, 3 ,0.014346723,,,
16/9/2013, 3 ,0.010488906,,,
19/9/2013, 1 ,0.045775445,,,
19/12/2013, 1 ,0.015387949,,,
21/2/2014, 1 ,0.004155623,,,
1/7/2014, 1 ,0.003340681,,,
18/9/2014, 1 ,0.006735186,,,
9/10/2014, 1 ,0.00977713,,,
24/10/2014, 1 ,0.001696666,,,
30/10/2014, 1 ,0.014324524,,,
11/11/2014, 1 ,0.002032845,,,
20/11/2014, 1 ,0.003858267,,,
29/11/2014, 1 ,0,,,
10/12/2014, 1 ,-0.00031503,,,
16/12/2014, 1 ,0.009049217,,,
19/2/2015, 1 ,0.004228684,,,
19/3/2015, 1 ,0.013500425,,,
18/6/2015, 1 ,0.006712452,,,
27/7/2015, 3 ,0.007668647,,,
18/9/2015, 1 ,0.014751123,,,
17/10/2015, 2 ,-0.002701115,,,
29/10/2015, 1 ,0.007074992,,,
5/1/2016, 6 ,-0.006272451,,,
22/1/2016, 1 ,0.003778248,,,
28/1/2016, 1 ,0.005926167,,,
8/2/2016, 3 ,0.033719552,,,
11/2/2016, 1 ,0.019008452,,,
19/2/2016, 1 ,0.004351259,,,
25/2/2016, 1 ,0.0021925,,,
5/3/2016, 1 ,0,,,
8/3/2016, 1 ,0.001961765,,,
17/3/2016, 2 ,0,,,
19/5/2016, 1 ,0.013558848,,,
17/6/2016, 1 ,0.007133484,,,
28/7/2016, 1 ,0.003989111,,,
12/10/2016, 1 ,0.001545054,,,
3/11/2016, 1 ,0.004784855,,,
12/11/2016, 2 ,-0.006076243,,,
16/11/2016, 2 ,-0.004229386,,,
15/12/2016, 1 ,0.019756818,,,
19/1/2017, 1 ,0.007919008,,,
16/3/2017, 1 ,0.019903061,,,
8/4/2017, 2 ,-0.000321911,,,
27/4/2017, 1 ,0.002154348,,,
4/5/2017, 1 ,0.007262411,,,
15/6/2017, 1 ,0.005921679,,,
27/7/2017, 1 ,0.006848118,,,
3/8/2017, 2 ,0.00013734,,,
1/9/2017, 1 ,0.003442245,,,
21/9/2017, 1 ,0.007766403,,,
12/10/2017, 1 ,0.002242402,,,
17/10/2017, 1 ,0.009979516,,,
14/12/2017, 2 ,0,,,
3/1/2018, 1 ,0.002139787,,,
18/1/2018, 1 ,0.006766054,,,
26/1/2018, 1 ,0.004928124,,,
1/2/2018, 2 ,-0.005605448,,,
7/2/2018, 1 ,0.005713322,,,
2/3/2018, 1 ,-0.001708224,,,
22/3/2018, 1 ,0.004314923,,,
18/6/2018, 3 ,0.001625441,,,
20/8/2018, 3 ,0.008372631,,,
29/8/2018, 1 ,0.002716681,,,
25/10/2018, 1 ,0.001833098,,,
2/11/2018, 1 ,0.001735469,,,
20/12/2018, 1 ,-0.002352963,,,
1/2/2019, 1 ,-0.001754725,,,
14/2/2019, 1 ,0.001907528,,,
6/3/2019, 2 ,-0.000300564,,,
21/3/2019, 1 ,0.004208599,,,
2/5/2019, 1 ,0.007257145,,,
20/6/2019, 1 ,0.023807592,,,
27/6/2019, 1 ,0.001589726,,,
3/7/2019, 1 ,0.005019477,,,
9/7/2019, 1 ,-0.000218002,,,
11/7/2019, 1 ,0.000490959,,,
17/7/2019, 1 ,-0.004623705,,,
19/7/2019, 1 ,0.002277478,,,
1/8/2019, 1 ,0.006987723,,,
3/8/2019, 1 ,0,,,
8/8/2019, 1 ,0.005555437,,,
19/9/2019, 1 ,0.005625044,,,
9/10/2019, 1 ,0.005634006,,,
31/1/2020, 1 ,0.005750982,,,
26/2/2020, 2 ,0,,,
2/3/2020, 3 ,0.004845236,,,
11/3/2020, 1 ,0.006337085,,,
13/3/2020, 1 ,0.012171527,,,
18/3/2020, 1 ,-0.002524641,,,
20/3/2020, 1 ,-0.002820473,,,
25/3/2020, 2 ,0.000759121,,,
2/4/2020, 1 ,0.018034743,,,
10/4/2020, 1 ,0,,,
17/4/2020, 4 ,-0.020568638,,,
11/6/2020, 1 ,0.010714092,,,
21/8/2020, 1 ,0.005336649,,,
17/6/2021, 1 ,0.035170487,,,
16/12/2021, 1 ,0.00338336,,,
6/1/2022, 1 ,-0.001408373,,,
14/2/2022, 3 ,0.012426235,,,
25/2/2022, 1 ,0.006846614,,,
17/3/2022, 1 ,0.003546863,,,
29/3/2022, 1 ,0.010248342,,,
4/4/2022, 3 ,-0.001900958,,,
30/4/2022, 1 ,0,,,
5/5/2022, 1 ,0.003755132,,,
18/5/2022, 1 ,0.00104834,,,
16/6/2022, 1 ,0.011077201,,,
28/7/2022, 1 ,0.015781951,,,
4/8/2022, 1 ,-0.008151921,,,
12/10/2022, 1 ,0.005269486,,,
1/12/2022, 1 ,0.026476345,,,
2/2/2023, 1 ,-0.004092349,,,
23/3/2023, 1 ,0.016270123,,,
21/9/2023, 1 ,-0.005304089,,,
10/10/2023, 1 ,0.004552593,,,
30/10/2023, 3 ,0.00393362,,,
14/12/2023, 1 ,0.021332325,,,
27/12/2023, 1 ,0.010401612,,,
1/2/2024, 1 ,0.009365326,,,
21/3/2024, 1 ,0.01071876,,,
12/4/2024, 1 ,0.005133908,,,
16/4/2024, 1 ,0.008408604,,,
10/5/2024, 1 ,0.00723902,,,
8/6/2024, 1 ,0,,,
12/6/2024, 2 ,0.010353158,,,
26/7/2024, 1 ,-0.001998537,,,
1/8/2024, 1 ,0.003483111,,,
19/9/2024, 1 ,-0.001206375,,,
19/12/2024, 1 ,0.014642846,,,
28/1/2025, 7 ,0.001749566,,,
