index,NVDA_Close,NVDA_dailyReturns,AMD_Close,AMD_dailyReturns,spread,abs_sprd,NVDA_rolling avg,AMD_rolling avg,isSprdPos,signal,axe,leverage,ratio,NVDA_Size,AMD_Size,NVDA_Cashflow,AMD_Cashflow,NVDA_MTM,AMD_MTM,Live Trades,NVDA_PnL,AMD_PnL,Total PnL,riskThreshold,grossCashflow,totalMTM,totalMTM in %,isStoppedOut,Adjusted PnL,Gross Capital
2010-01-01,0.42392265796661377,0.0,9.699999809265137,0.0,0.0,0.0,,,1,0,,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-02,0.42392265796661377,0.0,9.699999809265137,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-03,0.42392265796661377,0.0,9.699999809265137,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-04,0.42392265796661377,0.0,9.699999809265137,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-05,0.43011292815208435,0.014602357456340753,9.710000038146973,0.001030951451389095,0.013571406004951658,0.013571406004951658,,,1,0,0.0,10,1.593866614570388,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-06,0.43286433815956116,0.0063969479348082725,9.569999694824219,-0.014418160944669856,0.020815108879478128,0.020815108879478128,,,1,0,0.0,10,49.83072081561618,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-07,0.4243812561035156,-0.01959755357097248,9.470000267028809,-0.010449261335869542,-0.00914829223510294,0.00914829223510294,,,0,0,0.0,10,11.898097625819979,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-08,0.4252983331680298,0.002160974480669431,9.430000305175781,-0.004223860689032244,0.006384835169701675,0.006384835169701675,,,1,0,0.0,10,43.33890894861817,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-09,0.4252983331680298,0.0,9.430000305175781,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-10,0.4252983331680298,0.0,9.430000305175781,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-11,0.41933712363243103,-0.014016536324499396,9.140000343322754,-0.030752911184303677,0.01673637485980428,0.01673637485980428,,,1,0,0.0,10,47.82207621582054,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-12,0.405122309923172,-0.03389829544812495,8.649999618530273,-0.05361058056747792,0.019712285119352968,0.019712285119352968,,,1,0,0.0,10,33.767785300641265,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-13,0.41062501072883606,0.013582813562421636,9.149999618530273,0.057803470757257225,-0.04422065719483559,0.04422065719483559,,,0,0,0.0,10,94.82871249726246,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-14,0.4042053520679474,-0.01563387152062201,9.0,-0.016393401615722336,0.0007595300951003248,0.0007595300951003248,,,1,0,0.0,10,23.347640081775342,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-15,0.3922831416130066,-0.029495429474018064,8.84000015258789,-0.017777760823567745,-0.01171766865045032,0.01171766865045032,,,0,0,0.0,10,13.582351412653585,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-16,0.3922831416130066,0.0,8.84000015258789,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-17,0.3922831416130066,0.0,8.84000015258789,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-18,0.3922831416130066,0.0,8.84000015258789,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-19,0.39961984753608704,0.01870257766600192,9.010000228881836,0.019230777529362086,-0.0005281998633601681,0.0005281998633601681,,,0,0,0.0,10,23.183186507236776,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-20,0.3980148732662201,-0.004016252645514529,8.869999885559082,-0.015538328497925913,0.011522075852411384,0.011522075852411384,,,1,0,0.0,10,86.21991431622492,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-21,0.3909076154232025,-0.017856764458808905,8.989999771118164,0.013528735863283403,-0.03138550032209231,0.03138550032209231,,,0,0,0.0,10,17.423684443939507,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-22,0.3773805797100067,-0.03460417546112837,7.880000114440918,-0.12347048775721892,0.08886631229609054,0.08886631229609054,,,1,0,0.0,10,74.5042993417183,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-23,0.3773805797100067,0.0,7.880000114440918,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-24,0.3773805797100067,0.0,7.880000114440918,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-25,0.3838001489639282,0.01701086277109054,8.069999694824219,0.0241116215258812,-0.007100758754790659,0.007100758754790659,,,0,0,0.0,10,29.803581488739592,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-26,0.37164872884750366,-0.03166080093826806,8.09000015258789,0.002478371563817916,-0.03413917250208598,0.03413917250208598,,,0,0,0.0,10,1.7039639341984936,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-27,0.381736695766449,0.027143821936989943,8.1899995803833,0.012360868468392017,0.014782953468597926,0.014782953468597926,,,1,0,0.0,10,9.77007633510519,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-28,0.3688974976539612,-0.03363364920081713,7.880000114440918,-0.03785097458184172,0.004217325381024595,0.004217325381024595,,,1,0,0.0,10,24.039398149912454,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-29,0.35284850001335144,-0.043505303621398594,7.460000038146973,-0.0532995012936931,0.009794197672294502,0.009794197672294502,,,1,0,0.0,10,25.90189244671899,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-30,0.35284850001335144,0.0,7.460000038146973,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-01-31,0.35284850001335144,0.0,7.460000038146973,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-01,0.37990260124206543,0.07667341997398402,7.980000019073486,0.0697050909205732,0.006968329053410827,0.006968329053410827,,,1,0,0.0,10,19.096346576930625,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-02,0.3838001489639282,0.010259334127010522,7.909999847412109,-0.008771951315045823,0.019031285442056345,0.019031285442056345,,,1,0,0.0,10,17.621723179743313,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-03,0.38700994849205017,0.008363205529718698,7.809999942779541,-0.0126422132189149,0.021005418748633597,0.021005418748633597,,,1,0,0.0,10,30.50557689031807,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-04,0.3645414113998413,-0.05805674293323859,7.190000057220459,-0.07938538925756089,0.021328646324322298,0.021328646324322298,,,1,0,0.0,10,26.96931613588188,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-05,0.3718779981136322,0.020125523423027092,7.349999904632568,0.022253107946978545,-0.0021275845239514535,0.0021275845239514535,,,0,0,0.0,10,21.853969840740213,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-06,0.3718779981136322,0.0,7.349999904632568,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-07,0.3718779981136322,0.0,7.349999904632568,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-08,0.37119022011756897,-0.001849472137507524,7.420000076293945,0.009523833002672122,-0.011373305140179646,0.011373305140179646,,,0,0,0.0,10,102.93696590094578,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-09,0.3682096600532532,-0.0080297375921482,7.539999961853027,0.016172491148951362,-0.024202228741099563,0.024202228741099563,,,0,0,0.0,10,41.24314116881904,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-10,0.3753170073032379,0.019302446462042377,7.639999866485596,0.013262586888394656,0.006039859573647721,0.006039859573647721,,,1,0,0.0,10,13.986562549456867,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-11,0.3925124704837799,0.04581583793416777,7.840000152587891,0.026178048376628515,0.019637789557539254,0.019637789557539254,,,1,0,0.0,10,11.41259075056565,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-12,0.39778566360473633,0.013434460093604494,7.869999885559082,0.0038264964779737287,0.009607963615630766,0.009607963615630766,,,1,0,0.0,10,5.635165812010371,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-13,0.39778566360473633,0.0,7.869999885559082,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-14,0.39778566360473633,0.0,7.869999885559082,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-15,0.39778566360473633,0.0,7.869999885559082,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-16,0.405122309923172,0.018443717282194072,8.0600004196167,0.02414238079040576,-0.005698663508211688,0.005698663508211688,,,0,0,0.0,10,26.042372305501775,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-17,0.4090200364589691,0.009621110564205448,8.029999732971191,-0.0037221693652138566,0.013343279929419305,0.013343279929419305,,,1,0,0.0,10,7.595246489270694,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-18,0.38219523429870605,-0.0655831005065054,7.949999809265137,-0.009962630929808758,-0.05562046957669664,0.05562046957669664,,,0,0,0.0,10,3.1598316751430824,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-19,0.3801317811012268,-0.005398950620788101,7.929999828338623,-0.0025157209316162277,-0.0028832296891718734,0.0028832296891718734,,,0,0,0.0,10,9.720578352720903,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-20,0.3801317811012268,0.0,7.929999828338623,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-21,0.3801317811012268,0.0,7.929999828338623,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-22,0.380819708108902,0.0018097066382669613,7.900000095367432,-0.0037830685524083973,0.005592775190675359,0.005592775190675359,,,1,0,0.0,10,43.365435523446685,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-23,0.37164872884750366,-0.024082207580432557,7.789999961853027,-0.013924067365379988,-0.010158140215052569,0.010158140215052569,,,0,0,0.0,10,12.119218737296924,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-24,0.3794439733028412,0.020974764206811214,8.050000190734863,0.0333761527798504,-0.012401388573039185,0.012401388573039185,,,0,0,0.0,10,33.75883250001162,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-25,0.3760048747062683,-0.009063521464414137,7.889999866485596,-0.019875816205994545,0.010812294741580408,0.010812294741580408,,,1,0,0.0,10,46.016281912864315,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-26,0.3714195787906647,-0.012194777844796945,7.909999847412109,0.0025348518713501633,-0.014729629716147108,0.014729629716147108,,,0,0,0.0,10,4.426804823886661,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-27,0.3714195787906647,0.0,7.909999847412109,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-02-28,0.3714195787906647,0.0,7.909999847412109,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-03-01,0.38632217049598694,0.04012333370751442,8.210000038146973,0.03792669993957243,0.002196633767941991,0.002196633767941991,,,1,0,0.0,10,20.088225392636737,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-03-02,0.38609281182289124,-0.0005936979304118628,8.380000114440918,0.02070646473861837,-0.02130016266903023,0.02130016266903023,,,0,0,0.0,10,756.9945112779657,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-03-03,0.38127800822257996,-0.012470585965013825,8.350000381469727,-0.003579920353401156,-0.00889066561161267,0.00889066561161267,,,0,0,0.0,10,6.2868231407666295,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-03-04,0.3819659650325775,0.0018043443239872392,8.5,0.017964025350603707,-0.016159681026616468,0.016159681026616468,,,0,0,0.0,10,221.55344136285674,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-03-05,0.39365890622138977,0.030612521164850248,8.609999656677246,0.012941136079676063,0.017671385085174185,0.017671385085174185,,,1,0,0.0,10,9.246052567388697,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-03-06,0.39365890622138977,0.0,8.609999656677246,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-03-07,0.39365890622138977,0.0,8.609999656677246,0.0,0.0,0.0,,,1,0,0.0,10,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
2010-03-08,0.3879270851612091,-0.014560374399244846,8.640000343322754,0.00348440044620002,-0.018044774845444866,0.018044774845444866,,,0,0,0.0,10,5.329901399020104,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0
