Date,2330.TW_Close,2330.TW_dailyReturns,2454.TW_Close,2454.TW_dailyReturns,spread,abs_sprd,2330.TW_rolling avg,2454.TW_rolling avg,,isSprdPos,signal,axe,leverage,ratio,2330.TW_Size,2454.TW_Size,2330.TW_Cashflow,2454.TW_Cashflow,,2330.TW_MTM,2454.TW_MTM,MTM,,,Live Trades,2330.TW_PnL,2454.TW_PnL,Total PnL,Gross Capital
3/1/2024,578,-0.02529511,953,-0.028542304,0.003247194,0.003247194,,,0.00%,1,0,,5,1.860447934,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
4/1/2024,580,0.003460208,928,-0.026232949,0.029693156,0.029693156,,,0.00%,1,0,0,5,12.13011542,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
5/1/2024,576,-0.006896552,921,-0.007543103,0.000646552,0.000646552,,,0.00%,1,0,0,5,1.748860677,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
8/1/2024,583,0.012152778,920,-0.001085776,0.013238554,0.013238554,,,0.00%,1,0,0,5,0.140988628,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
9/1/2024,586,0.005145798,928,0.008695652,-0.003549855,0.003549855,0.014555112,0.016108374,1.61%,0,0,0,5,2.676084483,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
10/1/2024,584,-0.003412969,924,-0.004310345,0.000897376,0.000897376,0.00747522,0.012793306,1.28%,1,0,0,5,1.998199103,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
11/1/2024,586,0.003424658,920,-0.004329004,0.007753662,0.007753662,0.007473607,0.006251264,0.75%,1,1,1,5,1.984545602,-10,5,5860,-4600,10460,0,0,0,0.00%,FALSE,Opened,5860,-4600,0,10460
12/1/2024,584,-0.003412969,926,0.006521739,-0.009934708,0.009934708,0.00653007,0.006136219,0.65%,0,0,-1,5,3.029906194,10,-5,-5840,4630,10470,20,30,50,0.48%,FALSE,Closed,-5840,4630,50,0
15/1/2024,586,0.003424658,922,-0.004319654,0.007744312,0.007744312,0.004119722,0.006578491,0.66%,1,1,1,5,1.984564238,-10,5,5860,-4610,10470,0,0,0,0.00%,FALSE,Opened,5860,-4610,0,10470
16/1/2024,580,-0.010238908,895,-0.029284165,0.019045257,0.019045257,0.005716579,0.013236975,1.32%,1,1,0,5,4.413409754,10,-5,-5800,4475,10275,60,-135,-75,-0.73%,FALSE,Live,0,0,0,0
17/1/2024,581,0.001724138,879,-0.017877095,0.019601233,0.019601233,0.005868448,0.01388543,1.39%,1,1,0,5,15.68692007,10,-5,-5810,4395,10205,50,-215,-165,-1.62%,TRUE,Live,0,0,0,0
18/1/2024,588,0.012048193,897,0.020477816,-0.008429623,0.008429623,0.008273903,0.019607517,1.96%,0,0,-1,5,2.592846695,10,-5,-5880,4485,10365,-20,-125,-145,-1.40%,FALSE,Closed,-5880,4485,-145,0
19/1/2024,626,0.06462585,920,0.025641026,0.038984825,0.038984825,0.029224749,0.023805803,2.92%,1,1,1,5,0.58309943,-3,5,1878,-4600,6478,0,0,0,0.00%,FALSE,Opened,1878,-4600,0,6478
22/1/2024,626,0,922,0.002173913,-0.002173913,0.002173913,0.029581794,0.023761449,2.96%,0,0,-1,5,inf,3,-5,-1878,4610,6488,0,10,10,0.15%,FALSE,Closed,-1878,4610,10,0
23/1/2024,628,0.003194888,911,-0.011930586,0.015125474,0.015125474,0.027401431,0.019203638,2.74%,1,0,0,5,5.41707483,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
24/1/2024,627,-0.001592357,936,0.027442371,-0.029034728,0.029034728,0.027879015,0.017049544,2.79%,0,1,1,5,25.72702588,129,-5,-80883,4680,85563,0,0,0,0.00%,FALSE,Opened,-80883,4680,0,85563
25/1/2024,642,0.023923445,943,0.007478632,0.016444812,0.016444812,0.028000466,0.016562788,2.80%,1,0,-1,5,0.459171726,-129,5,82818,-4715,87533,1935,-35,1900,2.17%,FALSE,Closed,82818,-4715,1900,0
26/1/2024,644,0.003115265,936,-0.007423118,0.010538383,0.010538383,0.010376836,0.01539668,1.54%,1,0,0,5,3.463230209,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
29/1/2024,648,0.00621118,938,0.002136752,0.004074428,0.004074428,0.009879518,0.015397518,1.54%,1,0,0,5,0.497975361,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
30/1/2024,642,-0.009259259,963,0.026652452,-0.035911711,0.035911711,0.012334381,0.015373581,1.54%,0,1,1,5,4.317697228,22,-5,-14124,4815,18939,0,0,0,0.00%,FALSE,Opened,-14124,4815,0,18939
31/1/2024,628,-0.021806854,966,0.003115265,-0.024922118,0.024922118,0.017182359,0.012563522,1.72%,0,1,0,5,0.219745223,-22,5,13816,-4830,18646,-308,-15,-323,-1.73%,TRUE,Live,0,0,0,0
1/2/2024,628,0,930,-0.037267081,0.037267081,0.037267081,0.011347177,0.023107719,2.31%,1,0,-1,5,inf,-22,5,13816,-4650,18466,-308,165,-143,-0.77%,FALSE,Closed,13816,-4650,-143,0
2/2/2024,635,0.011146497,936,0.006451613,0.004694884,0.004694884,0.013100684,0.023210155,2.32%,1,0,0,5,0.853163032,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
5/2/2024,646,0.017322835,937,0.001068376,0.016254459,0.016254459,0.015686372,0.023192984,2.32%,1,0,0,5,0.089456575,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
15/2/2024,697,0.078947368,972,0.037353255,0.041594113,0.041594113,0.037638882,0.026521599,3.76%,1,1,1,5,0.659818187,-4,5,2788,-4860,7648,0,0,0,0.00%,FALSE,Opened,2788,-4860,0,7648
16/2/2024,683,-0.020086083,970,-0.002057613,-0.01802847,0.01802847,0.037199245,0.026575093,3.72%,0,0,-1,5,0.145485431,4,-5,-2732,4850,7582,56,-10,46,0.61%,FALSE,Closed,-2732,4850,46,0
19/2/2024,678,-0.007320644,963,-0.007216495,-0.000104149,0.000104149,0.038189447,0.017613079,3.82%,0,0,0,5,1.400146884,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
20/2/2024,687,0.013274336,982,0.01973001,-0.006455674,0.006455674,0.038133627,0.018467467,3.81%,0,0,0,5,2.124561215,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
21/2/2024,681,-0.008733624,981,-0.00101833,-0.007715295,0.007715295,0.039727793,0.018735069,3.97%,0,0,0,5,0.167963878,0,0,0,0,0,0,0,0,0.00%,FALSE,,0,0,0,0
22/2/2024,692,0.016152717,1015,0.034658512,-0.018505795,0.018505795,0.015503414,0.017740782,1.77%,0,1,1,5,3.147199577,16,-5,-11072,5075,16147,0,0,0,0.00%,FALSE,Opened,-11072,5075,0,16147
23/2/2024,697,0.007225434,1100,0.083743842,-0.076518409,0.076518409,0.011557853,0.036338538,3.63%,0,1,0,5,18.29148144,-16,5,11152,-5500,16652,80,-425,-345,-2.07%,FALSE,Live,0,0,0,0
26/2/2024,698,0.00143472,1115,0.013636364,-0.012201643,0.012201643,0.009941494,0.032578243,3.26%,0,1,0,5,15.18276244,-16,5,11168,-5575,16743,96,-500,-404,-2.41%,FALSE,Live,0,0,0,0
27/2/2024,698,0,1115,0,0,0,0.009216064,0.035241888,3.52%,1,0,-1,5,,-16,5,11168,-5575,16743,96,-500,-404,-2.41%,FALSE,Closed,11168,-5575,-404,0
29/2/2024,690,-0.011461318,1140,0.022421525,-0.033882843,0.033882843,0.010135144,0.032137694,3.21%,0,1,1,5,3.232111523,17,-5,-11730,5700,17430,0,0,0,0.00%,FALSE,Opened,-11730,5700,0,17430
