Date,Open,High,Low,Close,Adj Close,Volume,july24_dailyReturns,Open_1,High_1,Low_1,Close_1,Adj Close_1,Volume_1,copx_dailyReturns,spread,abs_sprd,july24_rolling avg,copx_rolling avg,isSprdPos,signal,axe,,
18/12/2023,3.84800005,, 37.1200 ,,,,,,,,,,,,,,,,,,,,
19/12/2023,3.895999908, 0.0125 , 38.0500 , 0.0251 ,-0.0126 , 0.0126 ,,,,,,,,,,,,,,,,,
20/12/2023,3.901499987, 0.0014 , 37.3000 ,-0.0197 , 0.0211 , 0.0211 ,,,,,,,,,,,,,,,,,
21/12/2023,3.908499956, 0.0018 , 38.1700 , 0.0233 ,-0.0215 , 0.0215 ,,,,,,,,,,,,,,,,,
22/12/2023,3.895499945,-0.0033 , 38.1000 ,-0.0018 ,-0.0015 , 0.0015 ,,,,,,,,,,,,,,,,,
26/12/2023,3.895499945, -   , 38.4700 , 0.0097 ,-0.0097 , 0.0097 ,,,,,,,,,,,,,,,,,
27/12/2023,3.943500042, 0.0123 , 38.8400 , 0.0096 , 0.0027 , 0.0027 ,,,,,,,,,,,,,,,,,
28/12/2023,3.913000107,-0.0077 , 37.8000 ,-0.0268 , 0.0190 , 0.0190 ,,,,,,,,,,,,,,,,,
29/12/2023,3.880500078,-0.0083 , 37.5000 ,-0.0079 ,-0.0004 , 0.0004 ,,,,,,,,,,,,,,,,,
2/1/2024,3.868999958,-0.0030 , 37.2100 ,-0.0077 , 0.0048 , 0.0048 ,,,,,,,,,,,,,,,,,
3/1/2024,3.847500086,-0.0056 , 36.9600 ,-0.0067 , 0.0012 , 0.0012 ,,,,,,,,,,,,,,,,,
4/1/2024,3.83100009,-0.0043 , 36.8800 ,-0.0022 ,-0.0021 , 0.0021 ,,,,,,,,,,,,,,,,,
5/1/2024,3.794500113,-0.0095 , 36.8800 , -   ,-0.0095 , 0.0095 ,,,,,,,,,,,,,,,,,
8/1/2024,3.799499989, 0.0013 , 37.1300 , 0.0068 ,-0.0055 , 0.0055 ,,,,,,,,,,,,,,,,,
9/1/2024,3.748500109,-0.0134 , 36.4500 ,-0.0183 , 0.0049 , 0.0049 ,,,,,,,,,,,,,,,,,
10/1/2024,3.780999899, 0.0087 , 36.4900 , 0.0011 , 0.0076 , 0.0076 ,,,,,,,,,,,,,,,,,
11/1/2024,3.776499987,-0.0012 , 36.5600 , 0.0019 ,-0.0031 , 0.0031 ,,,,,,,,,,,,,,,,,
12/1/2024,3.74000001,-0.0097 , 36.8600 , 0.0082 ,-0.0179 , 0.0179 ,,,,,,,,,,,,,,,,,
16/1/2024,3.766499996, 0.0071 , 35.7400 ,-0.0304 , 0.0375 , 0.0375 ,,,,,,,,,,,,,,,,,
17/1/2024,3.732500076,-0.0090 , 34.8900 ,-0.0238 , 0.0148 , 0.0148 ,,,,,,,,,,,,,,,,,
18/1/2024,3.744999886, 0.0033 , 34.9000 , 0.0003 , 0.0031 , 0.0031 ,,,,,,,,,,,,,,,,,
19/1/2024,3.786999941, 0.0112 , 35.2900 , 0.0112 , 0.0000 , 0.0000 ,,,,,,,,,,,,,,,,,
22/1/2024,3.763999939,-0.0061 , 34.4700 ,-0.0232 , 0.0172 , 0.0172 ,,,,,,,,,,,,,,,,,
23/1/2024,3.790499926, 0.0070 , 35.2600 , 0.0229 ,-0.0159 , 0.0159 ,,,,,,,,,,,,,,,,,
24/1/2024,3.882499933, 0.0243 , 36.3500 , 0.0309 ,-0.0066 , 0.0066 ,,,,,,,,,,,,,,,,,
