date,days,returns
2010-07-06,4,-0.008459566
2010-09-22,1,0.0083354
2010-11-10,1,0.00869303
2010-11-16,1,0.015786891
2010-12-07,4,0.005478827
2011-01-14,1,0.016766331
2011-01-28,1,-0.006025521
2011-02-25,1,0.004962412
2011-04-28,1,0.004921321
2011-05-03,1,0.010135656
2011-07-20,1,0.003014386
2011-08-03,1,0.008303265
2011-08-08,3,0.009556182
2011-08-10,1,0.01540909
2011-08-24,1,0.029012573
2011-08-29,3,0.006129785
2011-09-22,1,0.033291922
2011-09-27,1,-0.000611304
2011-11-10,2,0.00928316
2011-12-14,1,0.03664319
2012-03-14,1,0.022347648
2012-04-04,1,0.02464094
2012-05-17,1,-0.016497828
2012-05-24,1,0.002044056
2012-06-07,1,-0.01545009
2012-08-23,1,0.016065798
2013-01-07,3,0.00444345
2013-02-21,1,0.00284728
2013-05-13,3,0.00555813
2013-05-21,1,0.002091595
2013-06-20,1,0.027597719
2013-07-01,3,0.014346723
2013-09-16,3,0.010488906
2013-09-19,1,0.045775445
2013-12-19,1,0.015387949
2014-02-21,1,0.004155623
2014-07-01,1,0.003340681
2014-09-18,1,0.006735186
2014-10-09,1,0.00977713
2014-10-24,1,0.001696666
2014-10-30,1,0.014324524
2014-11-11,1,0.002032845
2014-11-20,1,0.003858267
2014-11-29,1,0
2014-12-10,1,-0.00031503
2014-12-16,1,0.009049217
2015-02-19,1,0.004228684
2015-03-19,1,0.013500425
2015-06-18,1,0.006712452
2015-07-27,3,0.007668647
2015-09-18,1,0.014751123
2015-10-17,2,-0.002701115
2015-10-29,1,0.007074992
2016-01-05,6,-0.006272451
2016-01-22,1,0.003778248
2016-01-28,1,0.005926167
2016-02-08,3,0.033719552
2016-02-11,1,0.019008452
2016-02-19,1,0.004351259
2016-02-25,1,0.0021925
2016-03-05,1,0
2016-03-08,1,0.001961765
2016-03-17,2,0
2016-05-19,1,0.013558848
2016-06-17,1,0.007133484
2016-07-28,1,0.003989111
2016-10-12,1,0.001545054
2016-11-03,1,0.004784855
2016-11-12,2,-0.006076243
2016-11-16,2,-0.004229386
2016-12-15,1,0.019756818
2017-01-19,1,0.007919008
2017-03-16,1,0.019903061
2017-04-08,2,-0.000321911
2017-04-27,1,0.002154348
2017-05-04,1,0.007262411
2017-06-15,1,0.005921679
2017-07-27,1,0.006848118
2017-08-03,2,0.00013734
2017-09-01,1,0.003442245
2017-09-21,1,0.007766403
2017-10-12,1,0.002242402
2017-10-17,1,0.009979516
2017-12-14,2,0
2018-01-03,1,0.002139787
2018-01-18,1,0.006766054
2018-01-26,1,0.004928124
2018-02-01,2,-0.005605448
2018-02-07,1,0.005713322
2018-03-02,1,-0.001708224
2018-03-22,1,0.004314923
2018-06-18,3,0.001625441
2018-08-20,3,0.008372631
2018-08-29,1,0.002716681
2018-10-25,1,0.001833098
2018-11-02,1,0.001735469
2018-12-20,1,-0.002352963
2019-02-01,1,-0.001754725
2019-02-14,1,0.001907528
2019-03-06,2,-0.000300564
2019-03-21,1,0.004208599
2019-05-02,1,0.007257145
2019-06-20,1,0.023807592
2019-06-27,1,0.001589726
2019-07-03,1,0.005019477
2019-07-09,1,-0.000218002
2019-07-11,1,0.000490959
2019-07-17,1,-0.004623705
2019-07-19,1,0.002277478
2019-08-01,1,0.006987723
2019-08-03,1,0
2019-08-08,1,0.005555437
2019-09-19,1,0.005625044
2019-10-09,1,0.005634006
2020-01-31,1,0.005750982
2020-02-26,2,0
2020-03-02,3,0.004845236
2020-03-11,1,0.006337085
2020-03-13,1,0.012171527
2020-03-18,1,-0.002524641
2020-03-20,1,-0.002820473
2020-03-25,2,0.000759121
2020-04-02,1,0.018034743
2020-04-10,1,0
2020-04-17,4,-0.020568638
2020-06-11,1,0.010714092
2020-08-21,1,0.005336649
2021-06-17,1,0.035170487
2021-12-16,1,0.00338336
2022-01-06,1,-0.001408373
2022-02-14,3,0.012426235
2022-02-25,1,0.006846614
2022-03-17,1,0.003546863
2022-03-29,1,0.010248342
2022-04-04,3,-0.001900958
2022-04-30,1,0
2022-05-05,1,0.003755132
2022-05-18,1,0.00104834
2022-06-16,1,0.011077201
2022-07-28,1,0.015781951
2022-08-04,1,-0.008151921
2022-10-12,1,0.005269486
2022-12-01,1,0.026476345
2023-02-02,1,-0.004092349
2023-03-23,1,0.016270123
2023-09-21,1,-0.005304089
2023-10-10,1,0.004552593
2023-10-30,3,0.00393362
2023-12-14,1,0.021332325
2023-12-27,1,0.010401612
2024-02-01,1,0.009365326
2024-03-21,1,0.01071876
2024-04-12,1,0.005133908
2024-04-16,1,0.008408604
2024-05-10,1,0.00723902
2024-06-08,1,0
2024-06-12,2,0.010353158
2024-07-26,1,-0.001998537
2024-08-01,1,0.003483111
2024-09-19,1,-0.001206375
2024-12-19,1,0.014642846
2025-01-28,7,0.001749566
